,airtable_row_id,user,videos_uploaded,test_run
0,recF33jAxbs41G2Wy,theallergicgirl,True,False
1,recFxfnl5fAbxcfVf,tylerandhistummy,True,False
2,recKGvmEQKlfQ8600,tytheproductguy,True,False
3,recLyU8bBKQl2tAJD,hi.surya,True,True
4,recMIbljDMr5dGaUQ,tylerandgerald,True,False
5,recYZo4MFY6KFmzQ5,mangothegecko62,True,False
6,recb4iqk60sDmE4cu,thephotoverse,True,False
7,rechqB4oNyEsXxbHd,tshack8,True,False
8,reclM3jB9bWcBQG2y,figapp,True,False
9,recupiGyKWN7WvI69,vidvaulttest,True,False
10,recyp76Hk0SxigwfU,poeticone,True,False
